nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0797194	Lella Sieni	\N	\N	actress	tt0093112
nm0797195	Ed Sienkaniec	\N	\N	miscellaneous,location_management	tt0093894,tt0111257,tt0212720,tt0314353
nm0797197	Henryk Sienkiewicz	1846	1916	writer,archive_footage	tt0043949,tt0055855,tt0950704,tt0021009
nm0797198	Joanna Sienkiewicz	1952	\N	actress	tt0330243,tt0078529,tt0244715,tt0239098
nm0797199	Krystyna Sienkiewicz	1935	2017	actress	tt0062528,tt0052083,tt0067447,tt0060623
nm0797200	Kuba Sienkiewicz	1961	\N	composer,music_department,actor	tt0441074,tt0127626,tt8341886,tt10908346
nm0797202	Roman Sienkiewicz	\N	\N	composer	tt0276695
nm0797203	Kinga Sienko	1954	\N	actress	tt0057684,tt0063165,tt0058956
nm0797204	Bridget Sienna	\N	\N	actress,miscellaneous	tt0095953,tt0126029,tt0413573,tt0108757
nm0797205	Pedro Sienna	1893	1972	actor,director,writer	tt0015935,tt0200320,tt0221243,tt0144284
nm0797206	Ariel Sienra	\N	\N	assistant_director,writer	tt0290032,tt0107528,tt0257655,tt0295955
nm0797207	Miriam Sienra	1939	2020	actress	tt0197049,tt0405162,tt0110531
nm0797208	Eric Siensa	\N	\N	actor	tt0261236,tt0302472
nm0797210	Halina Sienska	1925	\N	make_up_department	tt0052080,tt0047373,tt0047277,tt0048825
nm0797211	Peter Siepen	1962	\N	actor	tt0118554,tt0269604,tt0178156,tt0220940
nm0797212	Robert Siepen	\N	\N	producer,production_manager,miscellaneous	tt0055265,tt0051574,tt0806910,tt0135904
nm0797213	Harald Siepermann	1960	2013	animation_department,art_department,writer	tt0461770,tt0328880,tt0084649,tt0090633
nm0797214	Gerd Siepert	\N	\N	actor	tt0066361
nm0797215	Cesare Siepi	1923	2010	actor,soundtrack,archive_footage	tt0186968,tt0346348,tt0264234,tt0491351
nm0797216	Jörg Siepmann	1966	\N	producer,director,writer	tt0206296,tt7390494,tt0192871,tt0472589
nm0797217	Lori Sier	\N	\N	miscellaneous	tt0134847,tt0120831,tt0149380
nm0797218	Herman Sieracki	\N	\N	actor	tt0001653
nm0797219	Jan Sieradzinski	1938	2024	actor	tt0063398,tt0402866,tt0072701,tt0089432
nm0797220	Tom Sierchio	\N	\N	writer,director,producer	tt2850480,tt0108451,tt2404463,tt3152624
nm0797221	Klaus Detlef Sierck	1925	1944	actor	tt0029536,tt0344314,tt0032082,tt0030364
nm0797223	Frans Sierens	1929	1981	assistant_director	tt0191413,tt0222485
nm0797224	Donny Sierer	\N	\N	visual_effects,miscellaneous	tt0120201,tt0114508,tt0118571,tt0117108
nm0797225	Diego Sieres	\N	\N	actor	tt0120746,tt0210435,tt0211768,tt0298669
nm0797226	Raúl Sieres	\N	\N	actor	tt0244546,tt0192274
nm0797227	Anya Sierhaus	\N	\N	make_up_department	tt0182396,tt0235546
nm0797228	Bastian Sierich	1976	\N	miscellaneous,actor,archive_footage	tt0294144,tt10293938,tt12663250,tt1267295
nm0797229	Santtu Sierilä	\N	\N	sound_department,actor	tt3007090,tt0985025,tt0372594,tt0159485
nm0797230	Jasper Sierink	\N	\N	actor	tt0117046
nm0797231	Bobbie Sierks	1910	1978	script_department,actress	tt0070379,tt0048992,tt0043088,tt0068309
nm0797233	Nora Siero	\N	\N	make_up_department	tt0113992,tt0109385
nm0797234	Paula Siero	\N	\N	actress,director	tt1710558,tt0451479,tt5781226,tt0410973
nm0797235	Sierra	1974	\N	actress,archive_footage	tt0161274,tt0107391,tt0152507,tt0160224
nm0797236	Sierra	1972	\N	actress,archive_footage	tt1165369,tt30625354,tt8537308,tt0347950
nm0797237	Sierra	\N	\N	\N	tt0220339
nm0797238	José Sierra de Luna	\N	\N	actor	tt0211354,tt0208962,tt0023361
nm0797239	Jobino Sierra Iglesias	\N	\N	\N	\N
nm0797240	Hermilo Sierra Rincón	\N	\N	production_manager	tt0250308,tt0311799,tt0205485
nm0797241	Manuel Sierra Vasquez	\N	\N	art_department	tt0123385
nm0797242	Adolfo Sierra	\N	\N	composer	tt0036949,tt0033999
nm0797243	Agustín Sierra	1990	\N	actor,soundtrack	tt0288479,tt0154063,tt1151030,tt0401933
nm0797244	Amaryvis Sierra	\N	\N	miscellaneous	tt0116778,tt0115683,tt0117468,tt0118900
nm0797245	Andres Sierra	\N	\N	composer,sound_department,music_department	tt0196614,tt0443723,tt0280228,tt0497932
nm0797246	Antonio Sierra	\N	\N	actor	tt0218112
nm0797247	Asdru Sierra	1972	\N	composer,music_department,actor	tt2638144,tt1855199,tt0406816,tt0989757
