nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm1464832	Paul Masters	\N	\N	art_department,actor,writer	tt1834882,tt0383033,tt8962722,tt0496287
nm14648322	Matthew Riley	\N	\N	director	tt27127461
nm14648326	Dan Kobylinski	\N	\N	actor,writer	tt27127461
nm14648346	Thiago Carvalho	\N	\N	director	tt6863378
nm14648349	David A. Chang	\N	\N	actor,producer,writer	tt33353382
nm14648353	Michael Smith	\N	\N	director,writer,art_department	tt3155298,tt27127497,tt29374026,tt29419526
nm14648355	Dagon Grey	\N	\N	actor,director,writer	tt29374026,tt27127497,tt29419526
nm14648363	Joe Gonzalez	\N	\N	writer,producer	tt27127514
nm14648389	Martino Aprile	\N	\N	director,producer	tt27127525
nm1464841	Teddy Mattera	\N	\N	director,writer	tt0382839,tt2331600,tt0831832,tt1001415
nm14648415	Grazia Pompeo	\N	\N	director	tt27127541
nm14648416	Fulvio Pucciarelli	\N	\N	director	tt27127541
nm1464842	Raegan Matthews	1975	\N	miscellaneous,producer,writer	tt0329028,tt2360818,tt3839980,tt5792200
nm14648448	Stacey O. Irwin	\N	\N	director,cinematographer,editor	tt27127603,tt16228330,tt34544955
nm14648463	Kun Hong	\N	\N	writer,costume_designer	tt27127728
nm14648478	Jiaxin Wang	\N	\N	sound_department,director,writer	tt29224472,tt30443240,tt28486413,tt28212782
nm14648487	Bernardo Bacalhau	\N	\N	director,editor	tt27127767
nm14648489	Chamaine Woffard	\N	\N	director,writer,producer	tt27127790
nm14648500	Helmut Mittermaier	\N	\N	director	tt27127826
nm1464851	Ariane Maugery	\N	\N	director,cinematographer,composer	tt0383728
nm14648522	Trond Slåke	\N	\N	writer	tt27127829
nm14648549	Ryan McGowan	\N	\N	writer	tt28315425
nm14648614	Teresa de Miguel	\N	\N	director,writer	tt27127945
nm14648637	Teya Roberts	\N	\N	director,writer,producer	tt27128005
nm1464865	Charles Maître	\N	\N	writer	tt0214343,tt0166909,tt0167585,tt1085814
nm14648654	Bablu Singhaniya	\N	\N	director,editor	tt27128061
nm14648655	Ranjan Tiwari	\N	\N	writer	tt27128061
nm1464870	Mark McClennan	\N	\N	writer	tt0111901
nm1464877	Matthew Alan Taylor	\N	\N	art_department,actor,assistant_director	tt0988047,tt1352824,tt0367424,tt1494829
nm14648808	Ekebert Esken	2004	\N	camera_department,director,actor	tt27128253,tt31193404
nm1464881	Lee McDermott	\N	\N	stunts,actor,assistant_director	tt0449088,tt1298650,tt2328900,tt13385620
nm14648818	Bella Montez	\N	\N	director,actress,writer	tt27128258
nm14648821	Barbara Atlas	\N	\N	writer	tt0296385
nm14648831	Germán Alfonso	\N	\N	actor,producer,director	tt11710016,tt31778143,tt21737024,tt33058623
